path,size,sha256,status
00_ROUND2_RESPONSE/ROUND2_INDEPENDENT_AUDIT_RESPONSE_MATRIX.csv,4788,bacee624c84149afb5ee0348ff2196ca15629370f9678994f25843b04e3dda47,CONTROLLED
00_ROUND2_RESPONSE/ROUND2_REVISION_PLAN.md,244,b715da9f31e7005023f4943ff48e9d19b065173bbbdaa857a9d4e66756b4611a,CONTROLLED
01_PCC_SCIENTIFIC_REPORTS_MANUSCRIPT_V2_1.docx,1199772,83e9e5dcb260259f051404ffcee1aba5ea804c98a6af184165d092141c1ec99f,CONTROLLED
02_PCC_SCIENTIFIC_REPORTS_MANUSCRIPT_V2_1.pdf,1328531,5d2c78abdd7fc8d3da78ea5e2359019938a5994b9c7d0a433e1be298fb75900d,CONTROLLED
03_PCC_SCIENTIFIC_REPORTS_MANUSCRIPT_V2_1.md,45788,bf51c17700dd92622cf2da8aba3e5a37a8c04f280dcf9d4275d7b3448b72858f,CONTROLLED
04_PCC_SCIENTIFIC_REPORTS_SUPPLEMENT_V2_1.docx,49702,aae2a462344e8b1d90d9573e085c9f212942631f2d7565425b47a6920297badd,CONTROLLED
05_PCC_SCIENTIFIC_REPORTS_SUPPLEMENT_V2_1.pdf,26477,3b2f4142710659850933c6ef1bee64870eb76e36578b3807f70fa5c8cdd0c127,CONTROLLED
06_PCC_SCIENTIFIC_REPORTS_COVER_LETTER_V2_1.docx,38107,d189211ff298331f3ccd61c6b1261f6a68427895eeb9ba8a4149659c8f696c25,CONTROLLED
07_RESPONSE_TO_ROUND2_INDEPENDENT_AUDIT.md,5635,6f9768edf5c8f28ab4d56b53bf9de517c1143504cb95405f864ee162c2552458,CONTROLLED
CITATION_CLAIM_AUDIT_V2_1.csv,612,1af2290851933fc6cdb1dd7769be52ae51a0fc4e302f370c1100378ee57764dc,CONTROLLED
CLAIM_2024_COMPLIANCE_V2_1.csv,7979,812447dd387f3a09a7f2a8d01110a0781504c4b74a22331f0f718df539371347,CONTROLLED
CLAIM_2024_COMPLIANCE_V2_1_REPORT.md,344,d762ba5370fcad9e74e6850a0589377aa0f481f9cf89781761cc0320d5a083b4,CONTROLLED
DOCX_CLEANLINESS_AUDIT_V2_1.csv,269,6a9866bdc69f9c1a34d67ee6bc458f6d9ed227ffc223e7d7571523acb549e11e,CONTROLLED
DOCX_CLEANLINESS_AUDIT_V2_1.md,270,eae7bd6a018600160741b7a01739c36ad9960dcda80ae98ff15f84c763793080,CONTROLLED
FIGURES_V2_1/Figure1_V2_1.png,128655,8980ecb88bccc28cf48b3c5e93389b7069eaa993d97eca3019a484d43253f678,CONTROLLED
FIGURES_V2_1/Figure1_V2_1.svg,3169,f849f75e382ff59dcca3d2e7317e6e3fb8995be10f563b1f75360f3b585f143b,CONTROLLED
FIGURES_V2_1/Figure2_V2_1.png,665010,a6c404835d5d62c45a571aa35f62d555a503451feac8c7b2f3e2cc9bd2a362da,CONTROLLED
FIGURES_V2_1/Figure2_V2_1.svg,14729,5eadf981ddb0bfa052fe2438927355c16d31c4d6690451eae035b952ac2e79a5,CONTROLLED
FIGURES_V2_1/Figure3_V2_1.png,91086,ea8b74df39ac0a54efcb25a88e24222028a35f20b95cee6b11be74f7c86a89fc,CONTROLLED
FIGURES_V2_1/Figure3_V2_1.svg,2930,5c7dd96952ff452136c9381678bbe3949c136ea99efa2acc5c86e3914b5e65ad,CONTROLLED
FIGURES_V2_1/Figure4_V2_1.png,252432,d2aa864428fd5dd67d127972e5d8ce075b03cc3804b239afd644d1130cd6b685,CONTROLLED
FIGURES_V2_1/Figure4_V2_1.svg,6507,91007cbf66758306a492cffbf01791bd419deee3c690301d6bd4ad8bbcb20654,CONTROLLED
FIGURES_V2_1/Figure5_V2_1.png,76032,5b174bdd0484dd2bf54dcff7dc248594bc1a47c0293e7745cf3c1ccfe5be066b,CONTROLLED
FIGURES_V2_1/Figure5_V2_1.svg,2137,5a4acc0778948d2dde6bd490bfc18bfbf95add7b7678cfd67e330516ae5359ea,CONTROLLED
FINAL_RENDER_QA_V2_1.md,719,7398a47206339a18756815b34f3343e34f2b574dcddac022ebbc7c13f58d9c40,CONTROLLED
MAIN_TEXT_WORD_COUNT_AUDIT_V2_1.md,385,d2d32d6f185da9ec60721fe9cfc32366b0a3c755c5528bdb7dd220e120f636df,CONTROLLED
NUMERIC_CLAIM_AUDIT_V2_1.csv,549531,a1546b19a0019082940a5fd2d0a5a2c7e53eaaa7f1b7a22943cbcff463fde503,CONTROLLED
PORTABLE_RELEASE_VALIDATION_REPORT.md,309,33ba4dd7068362ed8cfbe29e3edb6cddf96c21f83a0c598349cc2b50b59d09c0,CONTROLLED
PRE_ROUND3_SELF_CHECK/HANDLING_EDITOR.md,361,40980390bc560d6a02cd75c3e41539a12cecb9c1380111c32c56674b154f6195,CONTROLLED
PRE_ROUND3_SELF_CHECK/METHODOLOGICAL_REVIEWER.md,352,b0cce0cf54cbb4954d476f7bf860dc2ac5f0c872f7d60cd3e98b39f12ab779cd,CONTROLLED
PRE_ROUND3_SELF_CHECK/NEURO_ONCOLOGY_REVIEWER.md,357,4b99042d799e37facb34bd67b389a65bd52aa114a832ce3c7aa0e8ae048d2071,CONTROLLED
PRE_ROUND3_SELF_CHECK/STATISTICS_REVIEWER.md,299,e132591d3fa7b472b4ebfd1e8547796d771854e43b34c55f8e846b9fa48727a7,CONTROLLED
REFERENCE_MASTER_LEDGER_V2_1.csv,4849,231c116fe15be5e6ae17a185ec6ee25fd8f961e85f2ef277b1de0091035b98e5,CONTROLLED
REPRODUCIBILITY_ARCHIVE/CONFIRMATORY_NUMERIC_REGRESSION_V2_1.csv,9898,2ffd7aed60fc4ca0e4f659e89c638ce557ab8e9d057e14b47ed094fdae203200,CONTROLLED
REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,49797,8cd09ddd9789fe125df059d254f640a2e91726a53644750b88ed6d4db0b4317d,CONTROLLED
REPRODUCIBILITY_ARCHIVE/PCC_METHOD_IDENTITY_AUDIT_V2_1.md,642,0e18233bcdcb5afae03cf64b80309322a7bbead148070258d7eb84b4be89aa5b,CONTROLLED
REPRODUCIBILITY_ARCHIVE/TABLE1_METADATA_IDENTITY_AUDIT.csv,3443,005abd1dac94180afc0e3d96307c1033876e963c200be898c082bf8cc327ed91,CONTROLLED
REPRODUCIBILITY_ARCHIVE/V2_1_AUTHORITY_HASH_REGISTRY.csv,3057,c1cc72067eb227413e9d18c81c575759bf3cd452ce86c35fe3052daa06b22639,CONTROLLED
REPRODUCIBILITY_ARCHIVE/V2_FROZEN_AUDITS/LOCKED_COMPARATOR_CODE_HASHES.csv,1180,a5ca23963fadfc2494dc60019ad6e0f8c5b2bb59d0aadda5922ef37147a4271e,CONTROLLED
REPRODUCIBILITY_ARCHIVE/V2_FROZEN_AUDITS/LOCKED_COMPARATOR_METHOD_DEFINITIONS.md,1274,ee467590bf66d483d452f2012ca66d86b55bab2d41a158566970bdd18946e3a2,CONTROLLED
REPRODUCIBILITY_ARCHIVE/V2_FROZEN_AUDITS/P0_GENERATION_BY_COHORT.csv,1567,1c8a1b6016ee9d6260d5649d877157f72429a45547ed1fc65d2639f2177a037f,CONTROLLED
REPRODUCIBILITY_ARCHIVE/V2_FROZEN_AUDITS/P0_GENERATION_BY_COHORT_AUDIT.md,1054,de3677f91940730fbe94f15b30f65114d6e9dd2c850d3fd258eccae8e65c771d,CONTROLLED
REPRODUCIBILITY_ARCHIVE/V2_FROZEN_AUDITS/V2_CITATION_CLAIM_AUDIT.csv,1124,3ce0241b4143de630e211a4b1c72e2c053d1f2464c2b4873b08b873d279d0cd5,CONTROLLED
REPRODUCIBILITY_ARCHIVE/V2_FROZEN_AUDITS/V2_MANUSCRIPT_NUMERIC_CLAIM_AUDIT.csv,31611,3531446acf9aa8b1d2f11d67fe2622e2764513730916efbe2d9ca90a284a89f8,CONTROLLED
REPRODUCIBILITY_ARCHIVE/V2_FROZEN_AUDITS/V2_METHOD_IDENTITY_AUDIT.md,531,87300ea06c0e479f69875dfea182ca46dfdc35a1cbcdd9edc4206b7199af4ddd,CONTROLLED
REPRODUCIBILITY_ARCHIVE/V2_FROZEN_AUDITS/V2_REFERENCE_MASTER_LEDGER.csv,5744,9083a53d85e66fa00f719115ab89c4af36e7999d696cc195aa7bf0c6703e80ff,CONTROLLED
SCIENTIFIC_REPORTS_COMPLIANCE_V2_1.csv,2382,9110ff53a3a29884bc31c33e1a3e93b36a7e0e8c913cd36c9001e67dc7a73d65,CONTROLLED
SCIENTIFIC_REPORTS_CURRENT_REQUIREMENTS_V2_1.md,993,355c9778ad327bff54bb43dfd54748146ebeae9273854ef109a44de046e72d70,CONTROLLED
SUBMISSION_ACTIONS_REQUIRED_V2_1.md,1011,90e0187c502ea865b6632c3e87fac2de88f84f7efa7ab303d269d43b6b97aefc,CONTROLLED
SUPPLEMENT_CROSS_REFERENCE_AUDIT_V2_1.csv,456,f2d99c0ceab8082242a059307c513119f7237554e885efd22665d408fb1552b4,CONTROLLED
SUPPLEMENT_ITEM_REGISTRY_V2_1.csv,1792,030751fa76aea318ecf6ab81a7c819f06a1d0977bbf4e0e206cb01be8b88f5be,CONTROLLED
SUPPLEMENT_SECTION_GEOMETRY_AUDIT.csv,537,5804cd4faa9e50f7a59a0846ea97849bca433b6d8a1dae522a2c7376b6ea592c,CONTROLLED
SUPPLEMENT_V2_1_SOURCE.md,22799,68aa0826f00df2344d3d538e9868131e165343bc61d68858b0b446aedbe1d8d7,CONTROLLED
TABLES_V2_1/Supplementary_Table_S1.csv,915,f2ff73ba35f913b6955cf0b016a4a870b68e9d1ae81507b8d864ca1fe045b51c,CONTROLLED
TABLES_V2_1/Supplementary_Table_S10.csv,132,c93cd3d3eafaa458000317160776f9003b5ea7684227c1786233c2d7e932f09c,CONTROLLED
TABLES_V2_1/Supplementary_Table_S2.csv,2492,99cd3c25e9231b987b9963ec76f7988df99c753fe6d253d87f437f0bdc0b893e,CONTROLLED
TABLES_V2_1/Supplementary_Table_S3.csv,3461,d318da27ecb80d7433db6679462acb309d9c41a422cab0acdabf3a027dddc676,CONTROLLED
TABLES_V2_1/Supplementary_Table_S4.csv,2381,587d0152541d746d6979d0a36599d77d0549fd3833d32c5ff36b8e2453d13ea3,CONTROLLED
TABLES_V2_1/Supplementary_Table_S5.csv,1366,84b00e1e6d9072c81850ec5fbcf67f470ad4708c52d78ff0c3d2ddb500548701,CONTROLLED
TABLES_V2_1/Supplementary_Table_S6.csv,603,4d1924f2f3c0ecfd5c3db26dfc104b59601d16f075ed1b6e47585c40e33ad153,CONTROLLED
TABLES_V2_1/Supplementary_Table_S7.csv,1084,de0de7e026abdc93ffac388737226e3f2c396414372a517deb2f9cf2245686a6,CONTROLLED
TABLES_V2_1/Supplementary_Table_S8.csv,2111,29685faf2d3109c1c96ae74fd5af9c4d4b3d403715adcb78b358f3ea425ab6fa,CONTROLLED
TABLES_V2_1/Supplementary_Table_S9.csv,3479,bd755b93e10cb81812c21aa965d0d2f60a7d1364677354111e1ef49dd3241f38,CONTROLLED
TABLES_V2_1/Table1_Cohort_Characteristics_and_Flow.csv,915,f2ff73ba35f913b6955cf0b016a4a870b68e9d1ae81507b8d864ca1fe045b51c,CONTROLLED
TABLES_V2_1/Table2_Prelocked_Confirmatory_Comparisons.csv,608,1e37688063ed4913148ea4d2e8724bc53366136976482b2def62e489cea84626,CONTROLLED
TABLES_V2_1/Table3_Target_Access_Comparator_Summary.csv,591,c38b95489afc85c58ab2564856176b1a63312a78077e6ac9acb1de7e897bc6c2,CONTROLLED
V2_1_GATE_STATUS.json,1356,6248896180a0b09d1a0ee59f654d15b1b8db2f10feb1eb6282db2c45c2c0c2ac,CONTROLLED
V2_1_RELEASE_REPORT.md,714,0956925443c9cf77131ffa0592cd2a46466577705709cd992c2ae03bf9aa2ca6,CONTROLLED
WORD_COUNT_EXPANSION_AUDIT.csv,5353,3f3b80206210e6ea0d42aeda21633b8c77befc43987116b7adb7bdb8cf07a3be,CONTROLLED
