path,size_bytes,sha256,control_status
00_AUTHORITY/EXECUTION_CODE/build_rhuh_external_stage_a_current_only.py,11122,b97c0009cb98e37e4aa462ededad30296c516d4602d6aa1cf39726b3d5b752ed,CONTROLLED
00_AUTHORITY/EXECUTION_CODE/finalize_rhuh_external_stage_a_freeze.py,19209,4a8ddbd3a44b390591409c38e51641cc3a2d24402494cd3045d5c7d33cba9e97,CONTROLLED
00_AUTHORITY/EXECUTION_CODE/kernel-metadata.json,446,44e56b2a44e064c10f98716b5c8e5040111bafe4f7256f4f9e1eab4a4aeaac9b,CONTROLLED
00_AUTHORITY/EXECUTION_CODE/run.py,33659,921bd199b4423bfd01f5e4ed9eb78a795ac67b15f5bdeb6c31adceca885cf33c,CONTROLLED
00_AUTHORITY/EXECUTION_CODE/test_rhuh_external_stage_a_freeze.py,6460,ca5f53cd6393e0369494c936d700d8f1e7c2e721146e6d1626cc587ca8c1e82c,CONTROLLED
00_AUTHORITY/EXECUTION_CODE/validate_rhuh_external_stage_a_output.py,10934,5318134c8e11fe60d817aaa20babf3a8d4af18fcdd047e481e132ff15a249132,CONTROLLED
00_AUTHORITY/KAGGLE_RUNTIME_INFO.json,1056,d5d8601cbf91b06b330c4f0620a7e65ddfe3fd14313eafd4b866295e70201405,CONTROLLED
00_AUTHORITY/RHUH_EXTERNAL_STAGE_A_SOURCE_PROVENANCE.json,1072,9d546635ac6e257973ce3cfed1bc48b52d30d6a18099ff79dd7cc28435c02cd4,CONTROLLED
01_CURRENT_ONLY_DATASET/CURRENT_ONLY_DATASET_GATE_STATUS.json,311,6d0f74db209bde5c59d4132bfd56fcda1abc091020f77c4b9edc3ceb5efb8043,CONTROLLED
01_CURRENT_ONLY_DATASET/KAGGLE_DATASET_TRANSPORT_ATTEMPT_AUDIT.json,768,75517190a37fb940c8272fbbbc03c867bfa1876410f483a97705c65f0141125d,CONTROLLED
01_CURRENT_ONLY_DATASET/KAGGLE_DATASET_TRANSPORT_ATTEMPT_AUDIT.md,734,de81569a2b1b483c88fdbad4fa174cc6fa8ff3d1952fda7d62991b6ab65d18f7,CONTROLLED
01_CURRENT_ONLY_DATASET/LOCKED_RHUH_39_STAGE_A_CURRENT_ONLY_MANIFEST.csv,14809,b3bfc6af523ae5757105321fde97735326453fc6f042661ffaf36b81ec1036a4,CONTROLLED
01_CURRENT_ONLY_DATASET/REMOTE_TRANSPORT_V2/CURRENT_ONLY_DATASET_GATE_STATUS.json,311,6d0f74db209bde5c59d4132bfd56fcda1abc091020f77c4b9edc3ceb5efb8043,CONTROLLED
01_CURRENT_ONLY_DATASET/REMOTE_TRANSPORT_V2/LOCKED_RHUH_39_STAGE_A_CURRENT_ONLY_MANIFEST.csv,14809,b3bfc6af523ae5757105321fde97735326453fc6f042661ffaf36b81ec1036a4,CONTROLLED
01_CURRENT_ONLY_DATASET/REMOTE_TRANSPORT_V2/RHUH_STAGE_A_CURRENT_ONLY_DATASET_AUDIT.md,457,52a450c29344d8101b20e4f2ea3a15e5ee5a772acf1cd40cf938c59ce3b6b0cd,CONTROLLED
01_CURRENT_ONLY_DATASET/REMOTE_TRANSPORT_V2/RHUH_STAGE_A_CURRENT_ONLY_DATASET_HASH_LOCK.json,14428,521e3e8575f0b06b25b890305d3a30354764c0d8f53d6d455b6b9450b4ddfaf8,CONTROLLED
